PUID,sg,trawl,sewage,farms,settle
1,0,0,0,0,206.2973924
2,0.05,0,0,0,347
3,0,0,0,0,347
4,0.05,0,0,0,347
5,0.05,0,0,0,347
6,0,0,0,0,205.5260216
7,0,0,0,0,0.225866749
8,0,0,0,0,5.399030921
9,0.05,0,0,0,309
10,0.05,0,0,0,309
11,0,0,0,0,417
12,0.05,0,0,0,60.53908696
13,0,0,0,0,0.000131789
14,0,0,0,0,1.1931433
15,0.05,0,0,0,9.541065677
16,0.05,0,0,0,1.893167841
17,0.15,0,0,0,1.015978171
18,0.05,0,0,0,440
19,0,0,0,0,1183.141417
20,0,0,0,0,288.5891361
21,0,0,0,0,382.2917277
22,0,0,0,0,249.2961448
23,0,0,0,0,1.058516194
24,0,0,0,0,5.87776504
25,0,0,0,0,362
26,0,0,0,0,362
27,0,0,0,0,362
28,0,0,0,0,362
29,0,0,0,0,217
30,0,0,0,0,217
31,0.05,0,0,0,217
32,0.05,0,0,0,217
33,0,0,0,0,0.220227346
34,0,0,0,0,9.50E-08
35,0.05,0,0,0,0.002092266
36,0.05,0,0,0,46.08521513
37,0.05,0,0,0,407
38,0,0,0,0,10.85643699
39,0,0,0,0,199.771813
40,0,0,0,0,347
41,0,0,0,0,291.4789469
42,0,0,0,0,153.7505115
43,0,0,0,0,9.556468709
44,0.05,0,0,0,309
45,0,0,0,0,347
46,0,0,0,0,347
47,0,0,0,0,347
48,0.05,0,0,0,68
49,0.05,0,0,0,157
50,0.05,0,0,0,157
51,0.05,0,0,0,417
52,0.05,0,0,0,417
53,0,0,0,0,28.69468694
54,0,0,0,0,9.30E-08
55,0,0,0,0,0.002032304
56,0.05,0,0,0,44.4185638
57,0.05,0,0,0,407
58,0.05,0,0,0,309
59,0,0,0,0,309
60,0,0,0,0,417
61,0.05,0,0,0,417
62,0,0,0,0,117.0229003
63,0,0,0,0,407
64,0,0,0,0,417
65,0,0,0,0,417
66,0,0,0,0,417
67,0,0,0,0,217
68,0,0,0,0,217
69,0,0,0,0,114.1009518
70,0,0,0,0,2.43E-06
71,0,0,0,0,0.001211568
72,0.05,0,0,0,0.00483331
73,0.15,0,0,0,0.271404631
74,0.15,0,0,0,407
75,0,0,0,0,407
76,0,0,0,0,217
77,0,0,0,0,217
78,0,0,0,0,217
79,0,0,0,0,217
80,0,0,0,0,217
81,0,0,0,0,217
82,0,0,0,0,0.000276845
83,0,0,0,0,2.688931516
84,0.05,0,0,0,106.4607301
85,0.05,0,0,0,47.80570684
86,0.15,0,0,0,208.0820545
87,0.05,0,0,0,440
88,0,0,0,0,217
89,0.05,0,0,0,217
90,0.05,0,0,0,31.86456599
91,0,0,0,0,0.080977066
92,0,0,0,0,0.000415761
93,0,0,0,0,9.157756137
94,0.05,0,0,0,407
95,0.05,0,0,0,76.62889197
96,0.15,0,0,0,2.046839154
97,0.05,0,0,0,440
98,0,0,0,0,250
99,0,0,0,0,202
100,0,0,0,0,134
101,0,0,0,0,134
102,0.05,0,0,0,49
103,0,1,0,0,11.54231859
104,0,3,0,0,1.214132782
105,0,4,0,0,0.057401566
106,0,8,0,0,0.098318324
107,0,0,0,0,250
108,0,0,0,0,362
109,0,0,0,0,217
110,0.05,0,0,0,217
111,0,0,0,0,0.054788751
112,0,0,1,0,3940
113,0,0,0,0,3940
114,0,0,0,0,3940
115,0,0,0,0,250
116,0,0,0,0,250
117,0,0,0,0,250
118,0,0,0,0,250
119,0,0,0,0,2.759570657
120,0,0,0,0,362
121,0,0,0,0,362
122,0,0,0,0,217
123,0,0,0,0,0.25098135
124,0,1,0,0,2.14E-05
125,0,0,0,0,2.17E-05
126,0,0,0,0,1.16E-05
127,0,0,0,0,0.008935347
128,0,0,0,0,2.531535624
129,0,0,0,0,2.853762188
130,0,0,0,0,0.259801251
131,0,0,0,0,16.11180876
132,0,0,0,0,342.5659486
133,0,0,0,0,228.6704059
134,0,0,0,0,0.096003435
135,0,0,0,0,0.121085845
136,0,0,0,0,1.221720251
137,0,0,0,0,123
138,0,0,0,1,362
139,0,0,0,0,362
140,0,0,0,0,362
141,0,0,0,0,362
142,0,0,0,0,167
143,0.05,0,0,0,4.812232499
144,0.05,0,0,0,0.080715016
145,0,0,0,0,0.027707667
146,0,0,0,0,0.020502639
147,0,1,0,0,8.74E-07
148,0,0,0,0,0.00021374
149,0.05,0,0,0,0.000433164
150,0.05,0,0,0,0.00018027
151,0.05,0,0,0,0.622545255
152,0.15,0,0,0,70.71691021
153,0.15,0,0,0,573.0064667
154,0.15,0,0,0,842.328434
155,0.15,0,0,0,865.3698625
156,0,0,0,0,3940
157,0,1,0,0,0.004543873
158,0.35,1,0,0,0.466515977
159,0.05,1,0,0,0.477193691
160,0,0,0,0,0.059427226
161,0,0,0,0,7.939546876
162,0.05,0,0,0,9522
163,0.15,0,0,0,9522
164,0.05,0,0,0,1043.218746
165,0.05,0,0,0,9522
166,0.05,0,0,0,9522
167,0,0,0,0,9522
168,0,0,0,0,29.41533649
169,0,0,0,0,263
170,0,0,0,0,263
171,0,0,0,0,263
172,0,0,0,0,362
173,0,0,0,0,167
174,0,0,0,0,167
175,0.05,0,0,0,20.45376171
176,0,0,0,0,0.000928599
177,0.05,0,0,0,2.202793146
178,0.05,0,0,0,0.328711475
179,0,0,0,0,0.000238644
180,0,2,0,0,4.24E-08
181,0,1,0,0,0.00037951
182,0,1,0,0,1.656017594
183,0.35,0,0,0,6265.554856
184,0.15,0,0,0,9522
185,0.05,0,0,0,1308.971757
186,0.05,0,0,0,9522
